N01-1009	Uses	det the D	1
N01-1009	Uses	conj compound Vendler N	1
N01-1009	Uses	inv-nmod inv-acl adjective N	1
N01-1009	Uses	inv-nmod inv-acl combination N	1
N01-1009	Uses	amod lexical J	1
N01-1009	Uses	conj CITANCE N	1
N01-1009	Uses	compound literature N	1
N01-1009	Uses	cc and C	1
N01-1009	Uses	inv-nmod discuss V	1
N01-1009	Uses	compound semantics N	1
N01-1009	Uses	inv-nmod mention V	1
N01-1009	Uses	case in I	2
N01-1009	Background	inv-nsubj xcomp enumerate V	1
N01-1009	Background	inv-nsubj avoid V	1
A00-1020	Uses	inv-appos compound coreference N	1
A00-1020	Uses	inv-appos det a D	1
A00-1020	Uses	punct -rrb- -	1
A00-1020	Uses	inv-appos acl:relcl implement V	1
A00-1020	Uses	inv-appos system N	1
A00-1020	Uses	inv-appos compound resolution N	1
A00-1020	Uses	inv-appos inv-dobj use V	1
A00-1020	Uses	punct -lrb- -	1
A00-1020	Extends	appos acl:relcl operate V	1
A00-1020	Extends	compound COCKTAIL N	1
A00-1020	Extends	appos compound coreference N	1
A00-1020	Extends	punct , ,	1
A00-1020	Extends	appos det a D	1
A00-1020	Extends	inv-nmod nsubj SWIZZLE N	1
A00-1020	Extends	inv-nmod det a D	1
A00-1020	Extends	inv-nmod cop be V	1
A00-1020	Extends	appos system N	1
A00-1020	Extends	inv-nmod enhancement N	1
A00-1020	Extends	case of I	1
A00-1020	Extends	inv-nmod amod multilingual J	1
A00-1020	Extends	appos compound resolution N	1
A00-1020	Background	inv-nmod nsubjpass detail N	1
A00-1020	Background	inv-nmod report V	1
A00-1020	Background	inv-nmod auxpass be V	1
A00-1020	Background	case in I	1
D08-1022	Prior	acl:relcl cop be V	1
D08-1022	Prior	case on I	1
D08-1022	Prior	acl:relcl nsubj which W	2
D08-1022	Prior	inv-nmod nmod point N	1
D08-1022	Prior	punct , ,	1
D08-1022	Prior	inv-dobj nmod:poss our P	1
D08-1022	Prior	inv-dobj amod previous J	1
D08-1022	Prior	det a D	1
D08-1022	Prior	compound tree-to-string N	1
D08-1022	Prior	inv-dobj work N	1
D08-1022	Prior	inv-dobj cop be V	1
D08-1022	Prior	inv-nmod improve V	1
D08-1022	Prior	inv-nmod inv-ccomp show V	1
D08-1022	Prior	acl:relcl advmod better J	1
D08-1022	Prior	inv-dobj parataxis system N	1
D08-1022	Prior	acl:relcl advmod also R	1
D08-1022	Prior	inv-nmod mark that I	1
D08-1022	Prior	acl:relcl translate V	1
D08-1022	Prior	inv-dobj nsubj application N	1
D08-1022	Prior	acl:relcl point N	1
D08-1022	Prior	acl:relcl nummod 0.5 C	1
D08-1022	Prior	inv-nmod dobj score N	1
D08-1022	Prior	compound system N	1
D08-1022	Prior	inv-dobj punct ; :	1
D08-1022	Prior	inv-nmod nsubj extraction N	1
D08-1022	Prior	acl:relcl nmod parser N	1
D08-1022	Prior	amod state-of-the-art J	1
D08-1022	Prior	acl:relcl dobj forest N	1
W06-3813	Motivation	inv-appos cop be V	1
W06-3813	Motivation	inv-appos punct , ,	1
W06-3813	Motivation	inv-nmod auxpass be V	1
W06-3813	Motivation	inv-appos mark to T	1
W06-3813	Motivation	inv-appos general J	1
W06-3813	Motivation	acl:relcl dobj list N	1
W06-3813	Motivation	amod domainindependent J	1
W06-3813	Motivation	case by I	1
W06-3813	Motivation	inv-appos inv-xcomp design V	1
W06-3813	Motivation	inv-nmod inspire V	1
W06-3813	Motivation	acl:relcl nsubj who W	1
W06-3813	Motivation	acl:relcl use V	1
W06-3813	Motivation	inv-nmod nsubjpass idea N	1
W06-3813	Motivation	punct , ,	1
W06-3813	Uses	inv-dobj punct , ,	1
W06-3813	Uses	inv-dep amod meteorological J	1
W06-3813	Uses	inv-dep compound literature N	1
W06-3813	Uses	inv-dep study N	1
W06-3813	Uses	inv-dep amod extensive J	1
W06-3813	Uses	inv-dobj auxpass be V	1
W06-3813	Uses	inv-dep inv-nmod text N	1
W06-3813	Uses	inv-dep inv-nmod base V	1
W06-3813	Uses	compound DIPETT N	1
W06-3813	Uses	inv-dobj nsubjpass structure N	1
W06-3813	Uses	inv-dobj nmod parser N	1
W06-3813	Uses	compound TANKA N	1
W06-3813	Uses	inv-dep phenomenon N	1
W06-3813	Uses	inv-dobj produce V	1
W06-3813	Uses	case from I	1
W06-3813	Uses	inv-dep case on I	2
W06-3813	Uses	inv-nmod nsubjpass idea N	1
W06-3813	Uses	inv-nmod auxpass be V	1
W06-3813	Uses	inv-nmod adopt V	1
W06-3813	Background	compound research N	2
W06-3813	Background	case through I	1
W06-3813	Background	inv-nmod case in I	2
